"Stanje","Pregledi","Cijena","Proizvodjac","Model","Gorivo","Godiste","Transmisija","Kilometraza","Kubikaza","Snaga motora (KW)","Broj vrata"
"Novo","17794","128000","Skoda","Enyaq Coupé","Elektro","2024","Automatik","0","1.0","220","4/5"
"Koristeno","24139","20900","Volkswagen","Golf","Dizel","2018","Manuelni","198000","1.6","85","4/5"
"Koristeno","14183","39900","Seat","Ateca","Dizel","2018","Automatik","169000","2.0","140","4/5"
"Koristeno","4546","19000","MINI","Cooper D Countryman","Dizel","2012","Manuelni","160000","1.6","2","4/5"
"Koristeno","1172","75000","Porsche","Cayenne","Dizel","2014","Automatik","206000","3.0","193","4/5"
"Koristeno","11149","99000","Porsche","Cayenne","Dizel","2017","Automatik","93000","3.0","193","4/5"
"Koristeno","3971","20000","Volkswagen","Golf","Dizel","2010","Automatik","276521","2.0","125","2/3"
"Koristeno","16132","16000","Mercedes-Benz","E 220","Dizel","2007","Automatik","390000","3.2","165","4/5"
"Koristeno","8297","189000","Mercedes-Benz","GLE 400 Coupe","Dizel","2021","Automatik","76000","3.0","250","4/5"
"Koristeno","1104","9850","Seat","Ibiza","Dizel","2011","Manuelni","178000","1.2","55","2/3"
"Koristeno","34830","48700","Volkswagen","Golf","Benzin","2020","Automatik","54250","2.0","180","4/5"
"Koristeno","2337","19350","Volkswagen","Tiguan","Dizel","2010","Manuelni","214000","2.0","103","4/5"
"Koristeno","806","7300","Renault","Clio","Dizel","2006","Manuelni","207000","1.5","63","4/5"
"Koristeno","482","3600","Volkswagen","Golf","Dizel","1999","Manuelni","321123","1.9","50","2/3"
"Koristeno","2588","16500","Volkswagen","Golf","Dizel","2011","Manuelni","216613","2.0","103","4/5"
"Koristeno","8605","31500","Mercedes-Benz","E 220","Dizel","2013","Automatik","293400","2.2","125","4/5"
"Koristeno","2629","58900","Volkswagen","Tiguan","Dizel","2020","Automatik","156780","2.0","140","4/5"
"Koristeno","1859","10800","Citroen","C3","Dizel","2012","Manuelni","178000","1.4","50","4/5"
"Koristeno","8114","","Renault","Megane","Dizel","2016","Manuelni","153677","1.5","81","4/5"
"Koristeno","2830","31900","Audi","A6","Dizel","2011","Automatik","293000","3.0","180","4/5"
"Koristeno","483","9800","Volkswagen","Polo","Dizel","2011","Manuelni","250000","1.2","55","4/5"
"Koristeno","1980","33500","Ford","Tourneo","Dizel","2015","Manuelni","260000","2.2","114","4/5"
"Koristeno","8219","36900","Volkswagen","Passat","Dizel","2018","Automatik","229200","2.0","140","4/5"
"Koristeno","5967","","BMW","740","Dizel","2013","","293000","3.0","230","4/5"
"Koristeno","1586","13000","Volkswagen","Golf Plus","Dizel","2010","Manuelni","204000","1.6","77","4/5"
"Koristeno","21739","87000","Audi","Q7","Dizel","2016","Automatik","111000","3.0","200","4/5"
"Koristeno","3573","","Volkswagen","Golf","Dizel","2012","Manuelni","255000","1.6","77","4/5"
"Koristeno","2822","42900","Volkswagen","Tiguan","Dizel","2017","Automatik","250000","2.0","140","4/5"
"Koristeno","11290","57900","Audi","A6","Dizel","2019","Automatik","196000","2.0","150","4/5"
"Koristeno","7549","62900","Volvo","XC 60","Dizel","2020","Automatik","153400","2.0","145","4/5"
"Koristeno","10522","16200","Audi","A4","Dizel","2008","Automatik","310000","2.7","140","4/5"
"Koristeno","2098","","Skoda","Octavia","Dizel","2013","Manuelni","188000","2.0","110","4/5"
"Koristeno","133","","Renault","Megane","Dizel","2017","Automatik","127000","1.5","81","4/5"
