Stanje,Pregledi,Cijena,Proizvodjac,Model,Gorivo,Godiste,Transmisija,Kilometraza,Kubikaza,Snaga motora (KW),Broj vrata
Koristeno,1084.0,22000,Mercedes-Benz,E 350,Dizel,2009.0,Automatik,250000,3.5,176.0,4/5
Koristeno,3805.0,10450,Skoda,Fabia,Dizel,2011.0,Manuelni,248634,1.6,77.0,4/5
Koristeno,9692.0,44900,Volkswagen,Passat,Dizel,2019.0,Automatik,181000,2.0,140.0,4/5
Koristeno,271.0,68980,Volvo,XC40,Dizel,2019.0,Automatik,104442,2.0,140.0,4/5
Koristeno,4405.0,33000,Volkswagen,Passat,Dizel,2018.0,Automatik,245000,2.0,110.0,4/5
Koristeno,9052.0,22450,Volkswagen,Golf,Dizel,2016.0,Manuelni,277000,1.6,81.0,4/5
Koristeno,2212.0,6950,Volkswagen,Golf,Dizel,2004.0,Manuelni,280900,1.9,66.0,4/5
Koristeno,4949.0,15550,Skoda,Yeti,Dizel,2010.0,Manuelni,181000,2.0,81.0,4/5
Koristeno,5045.0,10950,Seat,Exeo,Dizel,2009.0,Manuelni,270000,2.0,103.0,4/5
Koristeno,12707.0,35950,Audi,Q5,Dizel,2012.0,Automatik,246000,2.0,130.0,4/5
Koristeno,11304.0,21500,Mercedes-Benz,C 200,Dizel,2011.0,Manuelni,240000,2.0,100.0,4/5
Koristeno,102.0,15350,Volkswagen,Passat,Dizel,2012.0,Automatik,258153,2.0,103.0,4/5
Koristeno,21087.0,148900,Mercedes-Benz,GLE 400,Dizel,2020.0,Automatik,137860,3.0,243.0,4/5
Koristeno,3313.0,,Skoda,Fabia,Dizel,2011.0,Manuelni,190000,1.2,55.0,4/5
Koristeno,11055.0,11350,Volkswagen,Passat,Dizel,2010.0,Automatik,233854,2.0,103.0,4/5
Koristeno,1396.0,43950,Volvo,XC40,Dizel,2019.0,Automatik,247000,2.0,140.0,4/5
Koristeno,99.0,,Citroen,C3,Dizel,2017.0,Manuelni,108000,1.6,55.0,4/5
Koristeno,1877.0,14500,Volkswagen,Golf,Dizel,2009.0,Automatik,261450,2.0,81.0,4/5
Koristeno,430.0,10700,BMW,118,Dizel,2009.0,Manuelni,300000,2.0,105.0,4/5
Koristeno,5164.0,11800,Volkswagen,Passat,Dizel,2010.0,Manuelni,270000,2.0,103.0,4/5
Novo,22852.0,"69140,35",Audi,A4,Benzin,2024.0,Automatik,0,2.0,110.0,4/5
Koristeno,431.0,10700,BMW,118,Dizel,2009.0,Manuelni,300000,2.0,105.0,4/5
Koristeno,5165.0,11800,Volkswagen,Passat,Dizel,2010.0,Manuelni,270000,2.0,103.0,4/5
Novo,22853.0,"69140,35",Audi,A4,Benzin,2024.0,Automatik,0,2.0,110.0,4/5
Koristeno,937.0,26200,Volkswagen,Golf,Dizel,2018.0,Manuelni,126540,1.6,85.0,4/5
Koristeno,304.0,36000,BMW,530,Dizel,2013.0,Automatik,260000,3.0,190.0,4/5
Novo,25976.0,85900,Audi,A3,Benzin,2023.0,Automatik,0,1.5,110.0,4/5
Koristeno,21554.0,58500,Mercedes-Benz,E 220,Dizel,2016.0,Automatik,86000,2.0,143.0,4/5
Koristeno,6700.0,35700,Mercedes-Benz,GLA 220,Dizel,2014.0,Automatik,175000,2.0,125.0,4/5
Koristeno,13318.0,,Porsche,Cayenne,Benzin,2015.0,Automatik,132000,3.6,324.0,4/5
Koristeno,7289.0,15850,Volkswagen,Golf,Dizel,2011.0,Manuelni,249651,2.0,103.0,4/5
Koristeno,1277.0,10750,Renault,Clio,Dizel,2013.0,Manuelni,240000,1.5,55.0,4/5
Koristeno,5767.0,,Volkswagen,Passat,Dizel,2015.0,Manuelni,245000,2.0,110.0,4/5
Koristeno,74.0,11500,Volkswagen,Polo,Dizel,2010.0,Manuelni,200000,1.6,55.0,4/5
Koristeno,3693.0,30000,Skoda,Superb,Dizel,2015.0,Automatik,247000,2.0,110.0,4/5
Koristeno,133.0,33450,Audi,A3,Dizel,2018.0,Automatik,159000,1.6,85.0,4/5
Koristeno,1112.0,21900,Volkswagen,Golf,Dizel,2014.0,Automatik,227000,2.0,110.0,4/5
Koristeno,452.0,13999,Volkswagen,Golf,Dizel,2010.0,Manuelni,250000,2.0,103.0,4/5
Koristeno,2799.0,39900,Audi,A8,Dizel,2011.0,Automatik,229000,3.0,180.0,4/5
Koristeno,1748.0,40000,Audi,A6,Dizel,2017.0,Manuelni,197000,2.0,100.0,4/5
Koristeno,847.0,23200,Ford,Kuga,Dizel,2013.0,Manuelni,202000,2.0,103.0,4/5
Koristeno,125.0,10500,Volkswagen,Golf,Dizel,2009.0,Manuelni,211000,2.0,81.0,2/3
Koristeno,1650.0,21000,Volkswagen,Golf,Benzin,2011.0,Manuelni,206485,2.0,155.0,4/5
Koristeno,813.0,26599,Volkswagen,Passat,Dizel,2016.0,Automatik,220000,2.0,140.0,4/5
Koristeno,1972.0,16900,Skoda,Octavia,Dizel,2013.0,Manuelni,259000,1.6,77.0,4/5
Koristeno,1890.0,36000,Mercedes-Benz,Vito,Dizel,2012.0,Automatik,208000,2.2,100.0,4/5
Koristeno,8268.0,15350,Volkswagen,Golf,Dizel,2012.0,Manuelni,257541,1.6,77.0,4/5
Koristeno,21472.0,24500,Volkswagen,Tiguan,Dizel,2013.0,Manuelni,226373,2.0,81.0,4/5
Koristeno,54.0,11700,Volkswagen,Golf,Dizel,2009.0,Manuelni,219867,1.6,77.0,4/5
Koristeno,334.0,17800,Opel,Corsa,Benzin,2018.0,Automatik,58000,1.4,66.0,4/5
Koristeno,94.0,4500,Volkswagen,Golf,Benzin,2000.0,Manuelni,312000,1.6,74.0,4/5
Koristeno,7430.0,14750,Audi,A3,Dizel,2011.0,Manuelni,248531,1.6,77.0,4/5
